id,name,number,lon,lat,count,accessible
"272",Forest Heights,6230,-113.45,53.5449,2,"3"
"273",Maple Ridge,6410,-113.363,53.5014,0,"0"
"274",Edmonton South West,8888,-113.628,53.366,0,"0"
"275",Crystallina Nera East,2462,-113.449,53.6407,0,"0"
"276",Rapperswill,3370,-113.535,53.6346,0,"0"
"277",Rural North East Horse Hill,2670,-113.335,53.6631,0,"0"
"278",Edmonton Energy And Technology Park,2681,-113.376,53.6855,0,"0"
"279",Mattson,6667,-113.43,53.4031,0,"0"
"280",Maple,6441,-113.351,53.4742,0,"0"
"281",Laurel,6444,-113.382,53.4463,0,"0"
"282",Strathcona,5480,-113.49,53.5223,4,"4"
"283",Goodridge Corners,3490,-113.55,53.6453,2,"2"
"284",Anthony Henday Castledowns,4016,-113.515,53.6461,0,"0"
"285",Anthony Henday Lake District,4017,-113.468,53.6477,0,"0"
"286",Anthony Henday Energy Park,4019,-113.416,53.6412,0,"0"
"287",Windermere,5570,-113.622,53.4358,0,"0"
"288",River Valley Kinnaird,1190,-113.461,53.5557,0,"0"
"289",Eastgate Business Park,6180,-113.406,53.534,0,"0"
"290",Anthony Henday Clareview,4022,-113.36,53.6178,0,"0"
"291",River Valley Windermere,5405,-113.638,53.4375,0,"0"
"292",River Valley Riverside,6630,-113.458,53.5506,0,"2"
"293",Whitemud Creek Ravine Twin Brooks,5565,-113.55,53.4413,0,"0"
"294",Anthony Henday South Blackburne,4024,-113.504,53.4359,0,"0"
"295",Fraser,2280,-113.37,53.6115,2,"2"
"296",Gorman,2311,-113.385,53.6219,0,"0"
"297",Anthony Henday Big Lake,4018,-113.651,53.5855,0,"0"
"298",Clover Bar Area,2160,-113.333,53.5883,0,"0"
"299",Rural North East South Sturgeon,2690,-113.317,53.6314,0,"0"
"300",Anthony Henday Mistatim,4015,-113.617,53.6072,0,"0"
"301",Rampart Industrial,3360,-113.575,53.6131,0,"0"
"302",Kinglet Gardens,4477,-113.702,53.5772,0,"0"
"303",River Valley Hermitage,2630,-113.376,53.5897,0,"0"
"304",Jamieson Place,4220,-113.648,53.4895,1,"2"
"305",River Valley Gold Bar,6620,-113.418,53.5535,0,"6"
"306",River Valley Highlands,2640,-113.429,53.5607,0,"0"
"307",Glenwood,4180,-113.603,53.5364,2,"5"
"308",Twin Brooks,5511,-113.53,53.4427,2,"2"
"309",Gagnon Estate Industrial,4150,-113.584,53.5798,0,"0"
"310",River Valley Walterdale,5390,-113.505,53.5282,0,"0"
"311",Oliver,1150,-113.522,53.5424,1,"5"
"312",Riverdale,1210,-113.472,53.5433,1,"1"
"313",Decoteau North,6664,-113.364,53.4309,0,"0"
"314",Westview Village,4620,-113.698,53.5525,0,"0"
"315",Downtown,1090,-113.5,53.5414,3,"4"
"316",Blackmud Creek Ravine,5050,-113.524,53.4473,0,"0"
"317",Oxford,3320,-113.548,53.6222,0,"0"
"318",The Uplands,4464,-113.659,53.4601,0,"0"
"319",Morris Industrial,6540,-113.404,53.5203,0,"0"
"320",Klarvatten,2440,-113.474,53.6372,0,"1"
"321",Cameron Heights,4466,-113.633,53.4732,0,"0"
